Source,Target,Weight,PopulationAmmount,Type
"KE","pko",0.00700,340000,"undirected"
"KE","om",0.00470,230000,"undirected"
"KE","saq",0.00460,220000,"undirected"
"KE","ar",0.00046,22000,"undirected"
"KE","pa",0.00021,10000,"undirected"
"KE","gu",0.00010,4800,"undirected"
"KI","en",1.00000,110000,"undirected"
"KI","gil",0.60000,66000,"undirected"
"XK","sq",0.92000,1800000,"undirected"
"XK","aln",0.74000,1400000,"undirected"
"XK","sr",0.05000,95000,"undirected"
"XK","sr_Latn",0.05000,95000,"undirected"
"KW","ar",1.00000,2900000,"undirected"
"KG","ky",0.48000,2800000,"undirected"
"KG","ru",0.36000,2100000,"undirected"
"LA","lo",0.69000,5000000,"undirected"
"LA","kjg",0.05800,420000,"undirected"
"LA","kdt",0.00960,69000,"undirected"
"LV","lv",0.61000,1200000,"undirected"
"LV","en",0.46000,880000,"undirected"
"LV","ru",0.38000,730000,"undirected"
"LV","ltg",0.08900,170000,"undirected"
"LB","ar",0.86000,5200000,"undirected"
"LB","en",0.40000,2400000,"undirected"
"LB","hy",0.05200,320000,"undirected"
"LB","ku_Arab",0.01700,100000,"undirected"
"LB","fr",0.00370,23000,"undirected"
"LS","st",0.98000,1900000,"undirected"
"LS","en",0.27000,530000,"undirected"
"LS","zu",0.14000,270000,"undirected"
"LS","ss",0.02400,47000,"undirected"
"LS","xh",0.01000,20000,"undirected"
"LR","en",0.83000,4000000,"undirected"
"LR","kpe",0.14000,670000,"undirected"
"LR","vai",0.02600,130000,"undirected"
"LR","men",0.00480,23000,"undirected"
"LY","ar",0.74000,5000000,"undirected"
"LI","de",1.00000,39000,"undirected"
"LI","gsw",0.85000,33000,"undirected"
"LI","wae",0.03400,1300,"undirected"
"LT","lt",0.86000,2400000,"undirected"
"LT","ru",0.80000,2200000,"undirected"
"LT","en",0.38000,1100000,"undirected"
"LT","de",0.14000,390000,"undirected"
"LU","fr",0.87000,530000,"undirected"
"LU","lb",0.67000,410000,"undirected"
"LU","de",0.63000,380000,"undirected"
"LU","en",0.56000,340000,"undirected"
"LU","pt",0.16000,97000,"undirected"
"MO","zh_Hant",0.98000,590000,"undirected"
"MO","pt",0.05000,30000,"undirected"
"MO","zh",0.05000,30000,"undirected"
"MO","en",0.02300,14000,"undirected"
"MG","mg",0.90000,23000000,"undirected"
"MG","fr",0.69000,18000000,"undirected"
"MG","en",0.18000,4600000,"undirected"
"MW","en",0.63000,13000000,"undirected"
"MW","ny",0.63000,13000000,"undirected"
"MW","tum",0.08400,1700000,"undirected"
"MW","tog",0.00980,190000,"undirected"
