

		----------------------- K = 1 ---------------


Day 92 	#Susceptible = 42 	#Infected = 29 (+0) 	#Recovered = 9929 (+2)
Day 93 	#Susceptible = 42 	#Infected = 26 (+0) 	#Recovered = 9932 (+3)
Day 94 	#Susceptible = 42 	#Infected = 25 (+0) 	#Recovered = 9933 (+1)
Day 95 	#Susceptible = 42 	#Infected = 24 (+0) 	#Recovered = 9934 (+1)
Day 96 	#Susceptible = 42 	#Infected = 22 (+0) 	#Recovered = 9936 (+2)
Day 97 	#Susceptible = 42 	#Infected = 19 (+0) 	#Recovered = 9939 (+3)
Day 98 	#Susceptible = 42 	#Infected = 19 (+0) 	#Recovered = 9939 (+0)
Day 99 	#Susceptible = 42 	#Infected = 15 (+0) 	#Recovered = 9943 (+4)
Day 100 	#Susceptible = 42 	#Infected = 13 (+0) 	#Recovered = 9945 (+2)
R0 5.556053811659193
R at peak infection day 0.21702552402680736


		----------------------- K = 3 ---------------


Day 0 	#Susceptible = 9995 	#Infected = 5 (+0) 	#Recovered = 0 (+0)
Day 1 	#Susceptible = 9988 	#Infected = 12 (+7) 	#Recovered = 0 (+0)
Day 2 	#Susceptible = 9976 	#Infected = 23 (+12) 	#Recovered = 1 (+1)
Day 3 	#Susceptible = 9919 	#Infected = 78 (+57) 	#Recovered = 3 (+2)
Day 4 	#Susceptible = 9766 	#Infected = 222 (+153) 	#Recovered = 12 (+9)
Day 5 	#Susceptible = 9376 	#Infected = 597 (+390) 	#Recovered = 27 (+15)
Day 6 	#Susceptible = 8622 	#Infected = 1313 (+754) 	#Recovered = 65 (+38)
Day 7 	#Susceptible = 7436 	#Infected = 2400 (+1186) 	#Recovered = 164 (+99)
Day 8 	#Susceptible = 5980 	#Infected = 3679 (+1456) 	#Recovered = 341 (+177)
Day 9 	#Susceptible = 4490 	#Infected = 4898 (+1490) 	#Recovered = 612 (+271)
Day 10 	#Susceptible = 3289 	#Infected = 5758 (+1201) 	#Recovered = 953 (+341)
Day 11 	#Susceptible = 2315 	#Infected = 6310 (+974) 	#Recovered = 1375 (+422)
Day 12 	#Susceptible = 1645 	#Infected = 6527 (+670) 	#Recovered = 1828 (+453)
Day 13 	#Susceptible = 1154 	#Infected = 6558 (+491) 	#Recovered = 2288 (+460)
Day 14 	#Susceptible = 823 	#Infected = 6423 (+331) 	#Recovered = 2754 (+466)
Day 15 	#Susceptible = 594 	#Infected = 6208 (+229) 	#Recovered = 3198 (+444)
Day 16 	#Susceptible = 440 	#Infected = 5918 (+154) 	#Recovered = 3642 (+444)
Day 17 	#Susceptible = 355 	#Infected = 5568 (+85) 	#Recovered = 4077 (+435)
Day 18 	#Susceptible = 279 	#Infected = 5271 (+76) 	#Recovered = 4450 (+373)
Day 19 	#Susceptible = 226 	#Infected = 4953 (+53) 	#Recovered = 4821 (+371)
Day 20 	#Susceptible = 186 	#Infected = 4630 (+40) 	#Recovered = 5184 (+363)
Day 21 	#Susceptible = 160 	#Infected = 4334 (+26) 	#Recovered = 5506 (+322)
Day 22 	#Susceptible = 132 	#Infected = 4025 (+28) 	#Recovered = 5843 (+337)
Day 23 	#Susceptible = 118 	#Infected = 3770 (+14) 	#Recovered = 6112 (+269)
Day 24 	#Susceptible = 106 	#Infected = 3503 (+12) 	#Recovered = 6391 (+279)
Day 25 	#Susceptible = 92 	#Infected = 3260 (+14) 	#Recovered = 6648 (+257)
Day 26 	#Susceptible = 80 	#Infected = 3010 (+12) 	#Recovered = 6910 (+262)
Day 27 	#Susceptible = 70 	#Infected = 2801 (+10) 	#Recovered = 7129 (+219)
Day 28 	#Susceptible = 63 	#Infected = 2600 (+7) 	#Recovered = 7337 (+208)
Day 29 	#Susceptible = 58 	#Infected = 2414 (+5) 	#Recovered = 7528 (+191)
Day 30 	#Susceptible = 54 	#Infected = 2263 (+4) 	#Recovered = 7683 (+155)
Day 31 	#Susceptible = 50 	#Infected = 2103 (+4) 	#Recovered = 7847 (+164)
Day 32 	#Susceptible = 48 	#Infected = 1959 (+2) 	#Recovered = 7993 (+146)
Day 33 	#Susceptible = 45 	#Infected = 1789 (+3) 	#Recovered = 8166 (+173)
Day 34 	#Susceptible = 44 	#Infected = 1659 (+1) 	#Recovered = 8297 (+131)
Day 35 	#Susceptible = 41 	#Infected = 1552 (+3) 	#Recovered = 8407 (+110)
Day 36 	#Susceptible = 38 	#Infected = 1443 (+3) 	#Recovered = 8519 (+112)
Day 37 	#Susceptible = 37 	#Infected = 1348 (+1) 	#Recovered = 8615 (+96)
Day 38 	#Susceptible = 36 	#Infected = 1248 (+1) 	#Recovered = 8716 (+101)
Day 39 	#Susceptible = 36 	#Infected = 1169 (+0) 	#Recovered = 8795 (+79)
Day 40 	#Susceptible = 36 	#Infected = 1092 (+0) 	#Recovered = 8872 (+77)
Day 41 	#Susceptible = 36 	#Infected = 1025 (+0) 	#Recovered = 8939 (+67)
Day 42 	#Susceptible = 35 	#Infected = 950 (+1) 	#Recovered = 9015 (+76)
Day 43 	#Susceptible = 33 	#Infected = 877 (+2) 	#Recovered = 9090 (+75)
Day 44 	#Susceptible = 32 	#Infected = 822 (+1) 	#Recovered = 9146 (+56)
Day 45 	#Susceptible = 32 	#Infected = 764 (+0) 	#Recovered = 9204 (+58)
Day 46 	#Susceptible = 31 	#Infected = 716 (+1) 	#Recovered = 9253 (+49)
Day 47 	#Susceptible = 31 	#Infected = 675 (+0) 	#Recovered = 9294 (+41)
Day 48 	#Susceptible = 31 	#Infected = 637 (+0) 	#Recovered = 9332 (+38)
Day 49 	#Susceptible = 31 	#Infected = 577 (+0) 	#Recovered = 9392 (+60)
Day 50 	#Susceptible = 31 	#Infected = 541 (+0) 	#Recovered = 9428 (+36)
Day 51 	#Susceptible = 31 	#Infected = 507 (+0) 	#Recovered = 9462 (+34)
Day 52 	#Susceptible = 30 	#Infected = 485 (+1) 	#Recovered = 9485 (+23)
Day 53 	#Susceptible = 30 	#Infected = 449 (+0) 	#Recovered = 9521 (+36)
Day 54 	#Susceptible = 30 	#Infected = 408 (+0) 	#Recovered = 9562 (+41)
Day 55 	#Susceptible = 30 	#Infected = 383 (+0) 	#Recovered = 9587 (+25)
Day 56 	#Susceptible = 29 	#Infected = 359 (+1) 	#Recovered = 9612 (+25)
Day 57 	#Susceptible = 29 	#Infected = 338 (+0) 	#Recovered = 9633 (+21)
Day 58 	#Susceptible = 29 	#Infected = 317 (+0) 	#Recovered = 9654 (+21)
Day 59 	#Susceptible = 29 	#Infected = 303 (+0) 	#Recovered = 9668 (+14)
Day 60 	#Susceptible = 29 	#Infected = 283 (+0) 	#Recovered = 9688 (+20)
Day 61 	#Susceptible = 29 	#Infected = 265 (+0) 	#Recovered = 9706 (+18)
Day 62 	#Susceptible = 29 	#Infected = 248 (+0) 	#Recovered = 9723 (+17)
Day 63 	#Susceptible = 29 	#Infected = 223 (+0) 	#Recovered = 9748 (+25)
Day 64 	#Susceptible = 29 	#Infected = 209 (+0) 	#Recovered = 9762 (+14)
Day 65 	#Susceptible = 29 	#Infected = 192 (+0) 	#Recovered = 9779 (+17)
Day 66 	#Susceptible = 29 	#Infected = 186 (+0) 	#Recovered = 9785 (+6)
Day 67 	#Susceptible = 29 	#Infected = 169 (+0) 	#Recovered = 9802 (+17)
Day 68 	#Susceptible = 29 	#Infected = 155 (+0) 	#Recovered = 9816 (+14)
Day 69 	#Susceptible = 29 	#Infected = 145 (+0) 	#Recovered = 9826 (+10)
Day 70 	#Susceptible = 29 	#Infected = 134 (+0) 	#Recovered = 9837 (+11)
Day 71 	#Susceptible = 29 	#Infected = 122 (+0) 	#Recovered = 9849 (+12)
Day 72 	#Susceptible = 29 	#Infected = 111 (+0) 	#Recovered = 9860 (+11)
Day 73 	#Susceptible = 29 	#Infected = 104 (+0) 	#Recovered = 9867 (+7)
Day 74 	#Susceptible = 29 	#Infected = 97 (+0) 	#Recovered = 9874 (+7)
Day 75 	#Susceptible = 29 	#Infected = 94 (+0) 	#Recovered = 9877 (+3)
Day 76 	#Susceptible = 29 	#Infected = 88 (+0) 	#Recovered = 9883 (+6)
Day 77 	#Susceptible = 29 	#Infected = 82 (+0) 	#Recovered = 9889 (+6)
Day 78 	#Susceptible = 29 	#Infected = 77 (+0) 	#Recovered = 9894 (+5)
Day 79 	#Susceptible = 29 	#Infected = 73 (+0) 	#Recovered = 9898 (+4)
Day 80 	#Susceptible = 29 	#Infected = 67 (+0) 	#Recovered = 9904 (+6)
Day 81 	#Susceptible = 29 	#Infected = 64 (+0) 	#Recovered = 9907 (+3)
Day 82 	#Susceptible = 29 	#Infected = 58 (+0) 	#Recovered = 9913 (+6)
Day 83 	#Susceptible = 29 	#Infected = 56 (+0) 	#Recovered = 9915 (+2)
Day 84 	#Susceptible = 29 	#Infected = 49 (+0) 	#Recovered = 9922 (+7)
Day 85 	#Susceptible = 29 	#Infected = 47 (+0) 	#Recovered = 9924 (+2)
Day 86 	#Susceptible = 29 	#Infected = 43 (+0) 	#Recovered = 9928 (+4)
Day 87 	#Susceptible = 29 	#Infected = 39 (+0) 	#Recovered = 9932 (+4)
Day 88 	#Susceptible = 29 	#Infected = 36 (+0) 	#Recovered = 9935 (+3)
Day 89 	#Susceptible = 29 	#Infected = 35 (+0) 	#Recovered = 9936 (+1)
Day 90 	#Susceptible = 29 	#Infected = 34 (+0) 	#Recovered = 9937 (+1)
Day 91 	#Susceptible = 29 	#Infected = 33 (+0) 	#Recovered = 9938 (+1)
Day 92 	#Susceptible = 29 	#Infected = 28 (+0) 	#Recovered = 9943 (+5)
Day 93 	#Susceptible = 29 	#Infected = 27 (+0) 	#Recovered = 9944 (+1)
Day 94 	#Susceptible = 29 	#Infected = 23 (+0) 	#Recovered = 9948 (+4)
Day 95 	#Susceptible = 29 	#Infected = 22 (+0) 	#Recovered = 9949 (+1)
